,Profit Ratio,ONE,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
57,2%,1,Furniture,Troy,United States,Ted Butterfield,10%,1,6/17/2017,CA-2017-111682,12180.0,Novimex,Novimex Turbo Task Chair,7,5,East,319,Consumer,6/18/2017,First Class,New York,Chairs
58,48%,1,Office Supplies,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180.0,Array,"Array Parchment Paper, Assorted Colors",7,2,East,15,Consumer,6/18/2017,First Class,New York,Paper
59,11%,1,Technology,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180.0,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,3,2,East,30,Consumer,6/18/2017,First Class,New York,Accessories
60,34%,1,Office Supplies,Troy,United States,Ted Butterfield,20%,1,6/17/2017,CA-2017-111682,12180.0,Other,Plastic Binding Combs,16,4,East,48,Consumer,6/18/2017,First Class,New York,Binders
61,50%,1,Office Supplies,Troy,United States,Ted Butterfield,0%,1,6/17/2017,CA-2017-111682,12180.0,Prang,Prang Dustless Chalk Sticks,1,1,East,2,Consumer,6/18/2017,First Class,New York,Art
62,44%,1,Technology,Los Angeles,United States,Kunst Miller,0%,1,11/24/2016,CA-2016-135545,90004.0,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6,2,West,14,Consumer,11/30/2016,Standard Class,California,Accessories
63,36%,1,Office Supplies,Los Angeles,United States,Kunst Miller,20%,1,11/24/2016,CA-2016-135545,90004.0,Acco,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",9,6,West,26,Consumer,11/30/2016,Standard Class,California,Binders
64,47%,1,Office Supplies,Los Angeles,United States,Kunst Miller,0%,1,11/24/2016,CA-2016-135545,90004.0,Xerox,Xerox 1943,69,3,West,147,Consumer,11/30/2016,Standard Class,California,Paper
65,28%,1,Furniture,Los Angeles,United States,Kunst Miller,0%,1,11/24/2016,CA-2016-135545,90004.0,Luxo,Luxo Economy Swing Arm Lamp,22,4,West,80,Consumer,11/30/2016,Standard Class,California,Furnishings
66,-7%,1,Furniture,Chicago,United States,Paul Stevenson,30%,1,4/30/2016,US-2016-164175,60610.0,Global,"Global Value Mid-Back Manager's Chair, Gray",-15,5,Central,213,Home Office,5/5/2016,Standard Class,Illinois,Chairs
67,10%,1,Office Supplies,Gilbert,United States,Brendan Sweed,20%,1,12/5/2015,CA-2015-106376,85234.0,Hunt,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",111,8,West,"1,113",Corporate,12/10/2015,Standard Class,Arizona,Art
68,38%,1,Technology,Gilbert,United States,Brendan Sweed,20%,1,12/5/2015,CA-2015-106376,85234.0,Other,netTALK DUO VoIP Telephone Service,63,4,West,168,Corporate,12/10/2015,Standard Class,Arizona,Phones
69,47%,1,Office Supplies,Springfield,United States,Karen Daniels,0%,1,6/4/2017,CA-2017-119823,22153.0,Other,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",36,2,South,76,Consumer,6/6/2017,First Class,Virginia,Paper
70,38%,1,Office Supplies,New York City,United States,Henry MacAllister,20%,1,9/18/2017,CA-2017-106075,10009.0,Avery,Avery Binding System Hidden Tab Executive Style Index Sets,2,1,East,5,Consumer,9/23/2017,Standard Class,New York,Binders
71,46%,1,Office Supplies,Jackson,United States,Tracy Blumstein,0%,1,9/14/2018,CA-2018-114440,49201.0,Other,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",9,3,Central,19,Consumer,9/17/2018,Second Class,Michigan,Paper
72,-14%,1,Furniture,Memphis,United States,Joel Eaton,20%,1,4/26/2016,US-2016-134026,38109.0,Other,High-Back Leather Manager's Chair,-114,8,South,832,Consumer,5/2/2016,Standard Class,Tennessee,Chairs
73,1%,1,Furniture,Memphis,United States,Joel Eaton,20%,1,4/26/2016,US-2016-134026,38109.0,Tenex,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",1,2,South,97,Consumer,5/2/2016,Standard Class,Tennessee,Furnishings
74,-25%,1,Office Supplies,Memphis,United States,Joel Eaton,20%,1,4/26/2016,US-2016-134026,38109.0,SAFCO,Safco Industrial Wire Shelving System,-18,1,South,73,Consumer,5/2/2016,Standard Class,Tennessee,Storage
75,-155%,1,Office Supplies,Houston,United States,Ken Brennan,80%,1,12/9/2018,US-2018-118038,77041.0,Other,Economy Binders,-2,3,Central,1,Corporate,12/11/2018,First Class,Texas,Binders
76,-60%,1,Furniture,Houston,United States,Ken Brennan,60%,1,12/9/2018,US-2018-118038,77041.0,Other,"6"" Cubicle Wall Clock, Black",-6,3,Central,10,Corporate,12/11/2018,First Class,Texas,Furnishings
77,10%,1,Office Supplies,Houston,United States,Ken Brennan,20%,1,12/9/2018,US-2018-118038,77041.0,Other,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",3,3,Central,27,Corporate,12/11/2018,First Class,Texas,Storage
78,-75%,1,Furniture,Houston,United States,Joel Eaton,60%,1,11/26/2015,US-2015-147606,77070.0,Eldon,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-14,5,Central,19,Consumer,12/1/2015,Second Class,Texas,Furnishings
79,27%,1,Office Supplies,Decatur,United States,Stewart Carmichael,0%,1,6/12/2017,CA-2017-127208,35601.0,Other,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",56,1,South,208,Corporate,6/15/2017,First Class,Alabama,Appliances
80,48%,1,Office Supplies,Decatur,United States,Stewart Carmichael,0%,1,6/12/2017,CA-2017-127208,35601.0,Avery,Avery Heavy-Duty EZD  Binder With Locking Rings,8,3,South,17,Corporate,6/15/2017,First Class,Alabama,Binders
81,28%,1,Office Supplies,San Francisco,United States,Duane Noonan,0%,1,10/12/2015,CA-2015-139451,94122.0,Other,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",4,5,West,15,Consumer,10/16/2015,Standard Class,California,Art
82,29%,1,Office Supplies,San Francisco,United States,Duane Noonan,0%,1,10/12/2015,CA-2015-139451,94122.0,Other,"Sortfiler Multipurpose Personal File Organizer, Black",6,1,West,21,Consumer,10/16/2015,Standard Class,California,Storage
83,31%,1,Office Supplies,Durham,United States,Julie Creighton,20%,1,9/3/2016,CA-2016-149734,27707.0,Other,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,63,7,South,201,Corporate,9/8/2016,Standard Class,North Carolina,Envelopes
84,-21%,1,Office Supplies,Chicago,United States,Christopher Schild,20%,1,11/13/2018,US-2018-119662,60623.0,SAFCO,Safco Industrial Wire Shelving,-49,3,Central,230,Home Office,11/16/2018,First Class,Illinois,Storage
85,11%,1,Furniture,Columbia,United States,Patrick O'Donnell,0%,1,5/28/2018,CA-2018-140088,29203.0,Novimex,Novimex Swivel Fabric Task Chair,33,2,South,302,Consumer,5/30/2018,Second Class,South Carolina,Chairs
86,34%,1,Technology,Rochester,United States,Paul Gonzalez,0%,1,10/26/2018,CA-2018-155558,55901.0,Logitech,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,7,1,Central,20,Consumer,11/2/2018,Standard Class,Minnesota,Accessories
87,48%,1,Office Supplies,Rochester,United States,Paul Gonzalez,0%,1,10/26/2018,CA-2018-155558,55901.0,Avery,Avery 511,3,2,Central,6,Consumer,11/2/2018,Standard Class,Minnesota,Labels
88,9%,1,Office Supplies,Houston,United States,Gary Mitchum,20%,1,4/5/2017,CA-2017-159695,77095.0,Eldon,Eldon Portable Mobile Manager,14,7,Central,158,Home Office,4/10/2017,Second Class,Texas,Storage
89,33%,1,Office Supplies,Los Angeles,United States,Jim Sink,0%,1,9/17/2017,CA-2017-109806,90036.0,Other,Turquoise Lead Holder with Pocket Clip,7,3,West,20,Corporate,9/22/2017,Standard Class,California,Art
90,11%,1,Technology,Los Angeles,United States,Jim Sink,20%,1,9/17/2017,CA-2017-109806,90036.0,Panasonic,Panasonic Kx-TS550,8,2,West,74,Corporate,9/22/2017,Standard Class,California,Phones
91,48%,1,Office Supplies,Los Angeles,United States,Jim Sink,0%,1,9/17/2017,CA-2017-109806,90036.0,Xerox,Xerox 1995,3,1,West,6,Corporate,9/22/2017,Standard Class,California,Paper
92,48%,1,Office Supplies,Minneapolis,United States,Karl Braun,0%,1,1/31/2016,CA-2016-149587,55407.0,Xerox,Xerox 1999,6,2,Central,13,Consumer,2/5/2016,Second Class,Minnesota,Paper
93,31%,1,Furniture,Minneapolis,United States,Karl Braun,0%,1,1/31/2016,CA-2016-149587,55407.0,Seth Thomas,"Seth Thomas 13 1/2"" Wall Clock",17,3,Central,53,Consumer,2/5/2016,Second Class,Minnesota,Furnishings
94,49%,1,Office Supplies,Minneapolis,United States,Karl Braun,0%,1,1/31/2016,CA-2016-149587,55407.0,Ibico,Ibico Standard Transparent Covers,16,2,Central,33,Consumer,2/5/2016,Second Class,Minnesota,Binders
95,-67%,1,Office Supplies,Portland,United States,Roger Barcio,70%,1,11/6/2018,US-2018-109484,97206.0,Other,Flexible Leather- Look Classic Collection Ring Binder,-4,1,West,6,Home Office,11/12/2018,Standard Class,Oregon,Binders
96,42%,1,Furniture,New York City,United States,Parhena Norris,0%,1,11/9/2018,CA-2018-161018,10009.0,Other,9-3/4 Diameter Round Wall Clock,41,7,East,97,Home Office,11/11/2018,Second Class,New York,Furnishings
97,35%,1,Office Supplies,San Francisco,United States,Katherine Ducich,20%,1,6/17/2018,CA-2018-157833,94122.0,Other,Trimflex Flexible Post Binders,18,3,West,51,Consumer,6/20/2018,First Class,California,Binders
98,29%,1,Office Supplies,Saint Paul,United States,Elpida Rittenbach,0%,1,9/6/2017,CA-2017-149223,55106.0,Fellowes,Fellowes Basic Home/Office Series Surge Protectors,23,6,Central,78,Corporate,9/11/2017,Standard Class,Minnesota,Appliances
99,35%,1,Office Supplies,Chicago,United States,Rick Bensley,20%,1,8/29/2017,CA-2017-158568,60610.0,Avery,Avery Personal Creations Heavyweight Cards,23,7,Central,65,Home Office,9/2/2017,Standard Class,Illinois,Paper
100,-11%,1,Technology,Chicago,United States,Rick Bensley,20%,1,8/29/2017,CA-2017-158568,60610.0,SanDisk,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,-11,3,Central,96,Home Office,9/2/2017,Standard Class,Illinois,Accessories
101,-170%,1,Office Supplies,Chicago,United States,Rick Bensley,80%,1,8/29/2017,CA-2017-158568,60610.0,Avery,Avery Hidden Tab Dividers for Binding Systems,-3,3,Central,2,Home Office,9/2/2017,Standard Class,Illinois,Binders
102,49%,1,Office Supplies,Rochester,United States,Gary Zandusky,0%,1,12/1/2017,CA-2017-129903,55901.0,Universal,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),12,4,Central,24,Consumer,12/4/2017,Second Class,Minnesota,Paper
103,-11%,1,Technology,Aurora,United States,Lena Cacioppo,20%,1,11/13/2016,US-2016-156867,80013.0,Logitech,Logitech K350 2.4Ghz Wireless Keyboard,-27,6,West,239,Consumer,11/17/2016,Standard Class,Colorado,Accessories
104,-4%,1,Furniture,Aurora,United States,Lena Cacioppo,20%,1,11/13/2016,US-2016-156867,80013.0,Deflect-o,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",-4,3,West,102,Consumer,11/17/2016,Standard Class,Colorado,Furnishings
105,-70%,1,Office Supplies,Aurora,United States,Lena Cacioppo,70%,1,11/13/2016,US-2016-156867,80013.0,Avery,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",-26,3,West,37,Consumer,11/17/2016,Standard Class,Colorado,Binders
106,24%,1,Technology,Charlotte,United States,Janet Martin,20%,1,11/23/2018,CA-2018-119004,28205.0,Memorex,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,18,8,South,74,Consumer,11/28/2018,Standard Class,North Carolina,Accessories
107,8%,1,Technology,Charlotte,United States,Janet Martin,20%,1,11/23/2018,CA-2018-119004,28205.0,Other,Speck Products Candyshell Flip Case,2,1,South,28,Consumer,11/28/2018,Standard Class,North Carolina,Phones
108,33%,1,Office Supplies,Charlotte,United States,Janet Martin,20%,1,11/23/2018,CA-2018-119004,28205.0,Newell,Newell Chalk Holder,1,1,South,3,Consumer,11/28/2018,Standard Class,North Carolina,Art
109,20%,1,Technology,Orland Park,United States,Pete Armstrong,20%,1,10/15/2016,CA-2016-129476,60462.0,Logitech,Logitech Gaming G510s - Keyboard,68,5,Central,340,Home Office,10/20/2016,Standard Class,Illinois,Accessories
110,26%,1,Furniture,New York City,United States,Cynthia Voltz,0%,1,12/25/2018,CA-2018-146780,10035.0,Other,Magnifier Swing Arm Lamp,11,2,East,42,Corporate,12/30/2018,Standard Class,New York,Furnishings
111,30%,1,Office Supplies,Urbandale,United States,Clay Ludtke,0%,1,11/3/2017,CA-2017-128867,50322.0,Hunt,"Hunt PowerHouse Electric Pencil Sharpener, Blue",23,2,Central,76,Consumer,11/10/2017,Standard Class,Iowa,Art
112,49%,1,Office Supplies,Urbandale,United States,Clay Ludtke,0%,1,11/3/2017,CA-2017-128867,50322.0,Avery,"Avery Durable Plastic 1"" Binders",13,6,Central,27,Consumer,11/10/2017,Standard Class,Iowa,Binders
113,36%,1,Office Supplies,Columbus,United States,Ryan Crowe,20%,1,8/25/2015,CA-2015-115259,43229.0,Other,"OIC Colored Binder Clips, Assorted Sizes",15,14,East,40,Consumer,8/27/2015,Second Class,Ohio,Fasteners
114,35%,1,Office Supplies,Columbus,United States,Ryan Crowe,20%,1,8/25/2015,CA-2015-115259,43229.0,Other,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",2,2,East,5,Consumer,8/27/2015,Second Class,Ohio,Envelopes
